article_slug,file_title,artist,license,source_page,thumb_url,local_path
what-to-serve-with-roasted-potatoes,File:A Sunday Roast beef with potatoes and beans and carrot.jpg,Peachyeung316,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:A_Sunday_Roast_beef_with_potatoes_and_beans_and_carrot.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/A_Sunday_Roast_beef_with_potatoes_and_beans_and_carrot.jpg/1920px-A_Sunday_Roast_beef_with_potatoes_and_beans_and_carrot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,/images/articles/what-to-serve-with-roasted-potatoes.jpg
what-to-serve-with-fried-fish,File:Kokkikartano fish fillet at the office.jpg,JIP,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kokkikartano_fish_fillet_at_the_office.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/Kokkikartano_fish_fillet_at_the_office.jpg/1920px-Kokkikartano_fish_fillet_at_the_office.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,/images/articles/what-to-serve-with-fried-fish.jpg
what-to-serve-with-pesto-chicken,File:Pesto crusted chicken with corn dish.jpg,Infrogmation of New Orleans,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Pesto_crusted_chicken_with_corn_dish.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Pesto_crusted_chicken_with_corn_dish.jpg/1920px-Pesto_crusted_chicken_with_corn_dish.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,/images/articles/what-to-serve-with-pesto-chicken.jpg
